,machine_id,mem_util_percent,label
2018-01-01 16:10:00,m_1939,96.6,Anomaly
2018-01-01 16:15:00,m_1939,95.0,Anomaly
2018-01-01 16:20:00,m_1939,92.5,Anomaly
2018-01-01 16:25:00,m_1939,92.33333333333331,Anomaly
2018-01-01 16:30:00,m_1939,93.33333333333331,Anomaly
2018-01-01 16:35:00,m_1939,92.66666666666669,Anomaly
2018-01-01 16:40:00,m_1939,92.0,Anomaly
2018-01-01 16:50:00,m_1939,93.8,Anomaly
2018-01-01 16:55:00,m_1939,93.6,Anomaly
2018-01-01 17:00:00,m_1939,94.0,Anomaly
2018-01-01 17:05:00,m_1939,94.0,Anomaly
2018-01-01 17:20:00,m_1939,92.66666666666669,Anomaly
2018-01-01 17:25:00,m_1939,91.0,Anomaly
2018-01-01 17:30:00,m_1939,89.25,Anomaly
2018-01-01 17:35:00,m_1939,90.42857142857143,Anomaly
2018-01-01 17:40:00,m_1939,94.0,Anomaly
2018-01-01 17:45:00,m_1939,93.0,Anomaly
2018-01-01 17:50:00,m_1939,93.25,Anomaly
2018-01-01 17:55:00,m_1939,91.66666666666669,Anomaly
2018-01-01 18:00:00,m_1939,96.5,Anomaly
2018-01-01 18:05:00,m_1939,95.0,Anomaly
2018-01-01 18:10:00,m_1939,93.5,Anomaly
2018-01-01 18:20:00,m_1939,93.0,Anomaly
2018-01-01 18:25:00,m_1939,94.0,Anomaly
2018-01-01 18:30:00,m_1939,93.25,Anomaly
2018-01-01 18:35:00,m_1939,94.8,Anomaly
2018-01-01 18:40:00,m_1939,94.0,Anomaly
2018-01-01 18:45:00,m_1939,91.6,Anomaly
2018-01-01 18:55:00,m_1939,95.0,Anomaly
2018-01-01 19:00:00,m_1939,93.5,Anomaly
2018-01-01 19:05:00,m_1939,95.5,Anomaly
2018-01-01 19:10:00,m_1939,94.2,Anomaly
2018-01-01 19:15:00,m_1939,95.0,Anomaly
2018-01-01 19:20:00,m_1939,96.33333333333331,Anomaly
2018-01-01 19:25:00,m_1939,95.0,Anomaly
2018-01-01 19:30:00,m_1939,95.0,Anomaly
2018-01-01 19:35:00,m_1939,94.75,Anomaly
2018-01-01 19:40:00,m_1939,94.75,Anomaly
2018-01-01 19:45:00,m_1939,94.0,Anomaly
2018-01-01 19:50:00,m_1939,94.0,Anomaly
2018-01-01 19:55:00,m_1939,96.2,Anomaly
2018-01-01 20:00:00,m_1939,94.8,Anomaly
2018-01-01 20:05:00,m_1939,95.6,Anomaly
2018-01-01 20:10:00,m_1939,95.6,Anomaly
2018-01-01 20:15:00,m_1939,95.0,Anomaly
2018-01-01 20:20:00,m_1939,95.25,Anomaly
2018-01-01 20:25:00,m_1939,94.33333333333331,Anomaly
2018-01-01 20:30:00,m_1939,94.0,Anomaly
2018-01-01 20:35:00,m_1939,93.66666666666669,Anomaly
2018-01-01 20:40:00,m_1939,94.6,Anomaly
2018-01-01 20:45:00,m_1939,93.25,Anomaly
2018-01-01 20:50:00,m_1939,95.5,Anomaly
2018-01-01 20:55:00,m_1939,94.25,Anomaly
2018-01-01 21:00:00,m_1939,95.25,Anomaly
2018-01-01 21:05:00,m_1939,96.0,Anomaly
2018-01-01 21:10:00,m_1939,93.28571428571428,Anomaly
2018-01-01 21:15:00,m_1939,91.75,Anomaly
2018-01-01 21:20:00,m_1939,92.0,Anomaly
2018-01-01 22:20:00,m_1939,94.0,Anomaly
2018-01-01 22:25:00,m_1939,93.5,Anomaly
2018-01-01 22:30:00,m_1939,94.0,Anomaly
2018-01-01 22:35:00,m_1939,94.33333333333331,Anomaly
2018-01-01 22:40:00,m_1939,94.0,Anomaly
2018-01-01 22:45:00,m_1939,94.4,Anomaly
2018-01-01 22:50:00,m_1939,94.0,Anomaly
2018-01-01 22:55:00,m_1939,96.6,Anomaly
2018-01-01 23:00:00,m_1939,93.75,Anomaly
2018-01-02 01:10:00,m_1939,87.0,Anomaly
2018-01-02 01:15:00,m_1939,91.75,Anomaly
2018-01-02 01:20:00,m_1939,91.0,Anomaly
2018-01-02 01:25:00,m_1939,88.5,Anomaly
2018-01-02 01:30:00,m_1939,90.66666666666669,Anomaly
2018-01-02 01:35:00,m_1939,94.5,Anomaly
2018-01-02 01:40:00,m_1939,97.0,Anomaly
2018-01-02 01:45:00,m_1939,91.5,Anomaly
2018-01-02 01:50:00,m_1939,91.5,Anomaly
2018-01-02 01:55:00,m_1939,92.0,Anomaly
2018-01-02 03:50:00,m_1939,85.0,Anomaly
